Tilda UID;Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;Price Old;Editions;Modifications;External ID;Parent UID;Characteristics:ccal;Characteristics:prot;Characteristics:fat;Characteristics:carb;Weight;Length;Width;Height
7,35605E+11;;;;dishes;home-1-1;Омлет с сыром;Яйцо, молоко, сыр;https://static.tildacdn.com/tild3763-3739-4964-a263-623365363362/1.png;0;;;;;0ZxDufIbfLGKgnnSafi9;;;;;;200;0;0;0
6,65086E+11;;;;dishes;home-1-2;Овощной микс;Салат, перец, огурец, томат, редис;https://static.tildacdn.com/tild6166-6662-4563-a235-626638663864/Rectangle_27.png;0;;;;;nujgpnEJZRtNvrVX5SCO;;;;;;120;0;0;0
1,856E+11;;;;dishes;home-1-3;Чашушули с печеным картофелем;Свинина, томат, специи, перец, лук, картофель, сливочное масло;https://static.tildacdn.com/tild3430-6133-4834-a434-613133333463/Rectangle_28.png;0;;;;;3NLBcPb6JHCRGmFzmXL9;;;;;;280;0;0;0
6,39015E+11;;;;dishes;home-1-4;Куриный суп;Курица, картофель, морковь, макарошки;https://static.tildacdn.com/tild3432-6432-4566-a263-373537393837/Rectangle_31.png;0;;;;;5EVzgzYL8KISRB1pO7IB;;;;;;280;0;0;0
4,16377E+11;;;;dishes;home-1-5;Плов;Рис, морковь, лук, бедро куриное, специи, чеснок;https://static.tildacdn.com/tild3461-3761-4537-b561-316331616364/Rectangle_30.png;0;;;;;PMSAm7brnEI2bPlvO4XV;;;;;;280;0;0;0
5,52873E+11;;;;dishes;home-1-6;Фиш-боллс с кус-кус;"Филе трески, яйцо, специи, крабовое мясо, кус-кус, морковь, перец сладкий, зелень
масло сливочное.";https://static.tildacdn.com/tild3964-6533-4433-b430-616233333535/Rectangle_51.png;0;;;;;xMHnFTb7kiXscI14N74g;;;;;;0;0;0;0
3,29437E+11;;;;dishes;home-1-dessert;Чизкейк классический;Сыр творожный, пшеничная мука, вода, соль, лимонная кислота, сахар, патока, меланж, сливки;https://static.tildacdn.com/tild3666-3432-4331-b062-666639663866/Rectangle_11.png;0;;;;;Pmr8n1lHR8TDOa0B5tct;;;;;;50;0;0;0
9,35121E+11;;;;dishes;home-2-1;Запеканка творожная с вишневым вареньем;Творог, сметана, сахар, яйцо, вишня, мука;https://static.tildacdn.com/tild6633-3862-4364-a466-666563323738/Rectangle_10-1.png;0;;;;;v6ueDMmmJuZnrlcl4jjs;;;;;;230;0;0;0
9,7314E+11;;;;dishes;home-2-2;Селедка под шубой;Сельдь филе, картофель, яйцо, морковь, свекла, майонез;https://static.tildacdn.com/tild3533-3463-4764-a264-663636313937/Rectangle_27-1.png;0;;;;;pTIn8z4pko38zZdZBSjo;;;;;;120;0;0;0
5,89911E+11;;;;dishes;home-2-3;Фузилли с домашней котлетой и овощным конфитюром;Фузилли, говядина, свинина, лук, кабачок, морковь, специи;https://static.tildacdn.com/tild3832-3532-4032-a466-373438326264/Rectangle_28-1.png;0;;;;;pfIbb8PiTd1A1ZvNXtYB;;;;;;280;0;0;0
8,78648E+11;;;;dishes;home-2-4;Харчо;Говядина, рис, томат, соус ткемали;https://static.tildacdn.com/tild6234-3563-4135-b933-373830383339/Mask_Group.png;0;;;;;y8zrtYkP3Ba2kGkEOlKu;;;;;;280;0;0;0
8,24308E+11;;;;dishes;home-2-5;Чахохбили с гречей;Бедро куриное, томат, лук, морковь, специи, греча;https://static.tildacdn.com/tild3832-6536-4561-a561-316634616163/Rectangle_29.png;0;;;;;7reaIERfD45BvEZ1Xm3v;;;;;;280;0;0;0
2,34353E+11;;;;dishes;home-2-6;Лазанья;Говядина, свинина, сыр, томатная паста, специи, соус бешамель, тимьян, чеснок, паста;https://static.tildacdn.com/tild3334-6233-4538-b738-313363396666/Rectangle_45.png;0;;;;;3x8mzCUiiO43lbF0Vayg;;;;;;250;0;0;0
5,64202E+11;;;;dishes;home-2-dessert;Эклер шоколадный;Мука, яйцо, сахар, шоколад, заварной крем;https://static.tildacdn.com/tild3261-6263-4435-b133-343764306539/Rectangle_29-1.png;0;;;;;MBLfaH0cJhmMTLPCXcKK;;;;;;50;0;0;0
6,15891E+11;;;;dishes;home-3-1;Маффин с молоком;Молоко, мука, вода, масло сливочное, сахар, молоко, ванилин;https://static.tildacdn.com/tild6566-3464-4366-a335-643066343634/Rectangle_10-2.png;0;;;;;pIT8l1JgHAzKhJ4OmYEB;;;;;;280;0;0;0
6,34729E+11;;;;dishes;home-3-2;"Салат с соусом ""Ранч""";"Фасоль, яйцо, салат патисон, зеленый горошек, соус ""ранч""";https://static.tildacdn.com/tild3931-6163-4730-b837-393134633263/Rectangle_27-2.png;0;;;;;C8uiibu0yJAZ8UNbV369;;;;;;120;0;0;0
8,85283E+11;;;;dishes;home-3-3;Куриная отбивная с рисом;Филе куриное, томат, майонез, сыр, рис;https://static.tildacdn.com/tild3636-3362-4634-b330-653930373762/Rectangle_28-2.png;0;;;;;DkxhNfHHzcva5naLumar;;;;;;280;0;0;0
2,83605E+11;;;;dishes;home-3-4;Грибной суп;Грибы, картофель, морковь, перловая крупа;https://static.tildacdn.com/tild3737-6433-4636-b830-316232316163/Mask_Group-1.png;0;;;;;a6xMp2935ZkgfYOc1a53;;;;;;280;0;0;0
8,38269E+11;;;;dishes;home-3-5;Шницель куриный с булгуром;Филе куриное, сухари панировочные, булгур;https://static.tildacdn.com/tild3532-3930-4433-b263-316234323963/Rectangle_30-1.png;0;;;;;1BxRY0KtsXh3KYTP6sXi;;;;;;280;0;0;0
2,79859E+11;;;;dishes;home-3-6;Паприкаш с цветной капустой;Свиная вырезка, соус наполи, цветная капуста, соус песто , специи, зелень.;https://static.tildacdn.com/tild3733-6365-4264-a364-666465336236/Rectangle_46.png;0;;;;;koTEnfY8Rv1YZHoypOon;;;;;;0;0;0;0
7,67213E+11;;;;dishes;home-3-dessert;Чиз-кейк клубничный;Бисквит, ваниль, сливочный сыр, сливки, яйцо, клубника;https://static.tildacdn.com/tild3638-3164-4630-b432-653739366661/Rectangle_12.png;0;;;;;bebeMEZCtp0loN5zeN4U;;;;;;100;0;0;0
2,61838E+11;;;;dishes;home-4-1;Блинчики со сгущенкой;Мука, молоко, яйцо, сахар, сгущеное молоко;https://static.tildacdn.com/tild3636-3462-4262-b739-646664643736/Rectangle_10-3.png;0;;;;;oZz6JfDShRc6pOHMv8Vo;;;;;;170;0;0;0
9,675E+11;;;;dishes;home-4-2;Салат Цезарь;"Салат, томат, филе куриное, соус ""цезарь"", гренки";https://static.tildacdn.com/tild6664-6231-4636-b864-303665613765/Rectangle_27-3.png;0;;;;;fgzZsMxcyZRLSeLissUo;;;;;;120;0;0;0
7,29503E+11;;;;dishes;home-4-3;Картофельная лазанья с мясом;Картофель, яйцо, фарш мясной, кабачки, сливочный соус, сыр;https://static.tildacdn.com/tild6565-3539-4662-a532-643732313339/Rectangle_28-3.png;0;;;;;djeuGroKbbMA71MAvfgX;;;;;;250;0;0;0
7,24127E+11;;;;dishes;home-4-4;Солянка со сметаной;Огурец, лук, картофель, томат, курица, оливки, колбаски;https://static.tildacdn.com/tild3865-6632-4939-b935-623230366437/Mask_Group-2.png;0;;;;;YvJBn1poFjCAnvpb41Oz;;;;;;280;0;0;0
9,64431E+11;;;;dishes;home-4-5;Удон с курицей;"Пшеничная лапша, филе куриное, морковь, кунжут, перец, соус ""удон""";https://static.tildacdn.com/tild6164-3330-4663-a463-356236643364/Rectangle_29-1.png;0;;;;;uE4T4HtMacGAGhDcM5n2;;;;;;280;0;0;0
5,77087E+11;;;;dishes;home-4-6;Филе цыпленка BBQ с мексиканским гарниром;Филе цыпленка, свит чили, горошек зеленый, кукуруза, фасоль стручковая, прованские травы, соус барбекю.;https://static.tildacdn.com/tild3564-6131-4830-b862-363236376330/Rectangle_47.png;0;;;;;xdDePIk8mh4VB8CZFKgu;;;;;;0;0;0;0
7,72973E+11;;;;dishes;home-4-dessert;Пирог малиновый с миндалем;Малина, сахар, мука, масло, лимонный сок, яичный желток, миндальная мука, крахмал кукурузный;https://static.tildacdn.com/tild3566-6464-4635-b937-366432306634/Rectangle_13.png;0;;;;;iC6TLrRmk7EpXxNyZ5Rh;;;;;;60;0;0;0
